id,tone
@0nefence,"[0.3333333333333333, 0.6, 0.06666666666666667]"
@166.ootd,"[0.3, 0.7, 0.0]"
@1ungwoo,"[0.1724137931034483, 0.6551724137931034, 0.1724137931034483]"
@337janggoon,"[0.06666666666666667, 0.8333333333333334, 0.1]"
@59seok,"[0.4827586206896552, 0.3793103448275862, 0.13793103448275862]"
@98.c_project,"[0.1935483870967742, 0.8064516129032258, 0.0]"
@amourfor_u,"[0.23076923076923078, 0.6538461538461539, 0.11538461538461539]"
@antmousbe9,"[0.5666666666666667, 0.36666666666666664, 0.06666666666666667]"
@ap.s_fi1st,"[0.25925925925925924, 0.7037037037037037, 0.037037037037037035]"
@arcco_iris_,"[0.2413793103448276, 0.7586206896551724, 0.0]"
@bacajini,"[0.42857142857142855, 0.5, 0.07142857142857142]"
@ba_serin_e,"[0.22727272727272727, 0.5909090909090909, 0.18181818181818182]"
@bbo9ni,"[0.17857142857142858, 0.6785714285714286, 0.14285714285714285]"
@bejoon0,"[0.16666666666666666, 0.7333333333333333, 0.1]"
@belleofcloset,"[0.06666666666666667, 0.8666666666666667, 0.06666666666666667]"
@bloggerbok,"[0.6666666666666666, 0.25925925925925924, 0.07407407407407407]"
@by_he.nique,"[0.03333333333333333, 0.9666666666666667, 0.0]"
@campo_look,"[0.27586206896551724, 0.6551724137931034, 0.06896551724137931]"
@chaileeson,"[0.26666666666666666, 0.6, 0.13333333333333333]"
@c_eunnnnnnn,"[0.5, 0.4, 0.1]"
@dbs.ycaa,"[0.5882352941176471, 0.29411764705882354, 0.11764705882352941]"
@dismas_,"[0.23333333333333334, 0.13333333333333333, 0.6333333333333333]"
@dosirak_hansol,"[0.17857142857142858, 0.5714285714285714, 0.25]"
@d_soms,"[0.3333333333333333, 0.6333333333333333, 0.03333333333333333]"
@eungil_j,"[0.23333333333333334, 0.7333333333333333, 0.03333333333333333]"
@e_wolly,"[0.5833333333333334, 0.375, 0.041666666666666664]"
@geol_dong,"[0.13793103448275862, 0.7586206896551724, 0.10344827586206896]"
@grey_woo9,"[0.36666666666666664, 0.4666666666666667, 0.16666666666666666]"
@hamnihouse,"[0.1111111111111111, 0.7037037037037037, 0.18518518518518517]"
@hawl_0.s,"[0.2857142857142857, 0.4642857142857143, 0.25]"
@hmm.__.u,"[0.26666666666666666, 0.7333333333333333, 0.0]"
@hodu__jwan,"[0.3333333333333333, 0.4666666666666667, 0.2]"
@hotneul,"[0.06666666666666667, 0.9333333333333333, 0.0]"
